[2026-06-20 21:54:41] Estacion (11,10) | Nave PID 68463 | Operacion: COMPRA COMBUSTIBLE | Detalle: Combustible cantidad: 40 | Resultado: EXITO
[2026-06-20 21:54:41] Estacion (11,10) | Nave PID 68463 | Operacion: COMPRA COMBUSTIBLE | Detalle: Combustible cantidad: 40 | Resultado: EXITO
[2026-06-20 21:54:41] Estacion (11,10) | Nave PID 68463 | Operacion: COMPRA COMBUSTIBLE | Detalle: Combustible cantidad: 40 | Resultado: EXITO
[2026-06-20 21:54:41] Estacion (11,10) | Nave PID 68463 | Operacion: COMPRA COMBUSTIBLE | Detalle: Combustible cantidad: 40 | Resultado: EXITO
[2026-06-20 21:54:42] Estacion (11,10) | Nave PID 68463 | Operacion: COMPRA COMBUSTIBLE | Detalle: Combustible cantidad: 40 | Resultado: EXITO
[2026-06-20 21:54:42] Estacion (11,10) | Nave PID 68463 | Operacion: COMPRA COMBUSTIBLE | Detalle: Combustible cantidad: 40 | Resultado: EXITO
[2026-06-20 21:54:52] Estacion (11,10) | Nave PID 68463 | Operacion: COMPRA COMBUSTIBLE | Detalle: Combustible cantidad: 40 | Resultado: EXITO
[2026-06-20 21:54:52] Estacion (11,10) | Nave PID 68463 | Operacion: COMPRA COMBUSTIBLE | Detalle: Combustible cantidad: 40 | Resultado: EXITO
[2026-06-20 21:54:53] Estacion (11,10) | Nave PID 68463 | Operacion: COMPRA COMBUSTIBLE | Detalle: Combustible insuficiente (solicitado: 40) | Resultado: FALLIDO
[2026-06-20 21:54:53] Estacion (11,10) | Nave PID 68463 | Operacion: COMPRA COMBUSTIBLE | Detalle: Combustible insuficiente (solicitado: 40) | Resultado: FALLIDO
[2026-06-20 22:08:37] Estacion (60,7) | Nave PID 69570 | Operacion: VENTA MINERAL | Detalle: Mineral Tipo 1 cantidad: 60 | Resultado: EXITO
[2026-06-20 22:08:37] Estacion (60,7) | Nave PID 69570 | Operacion: VENTA MINERAL | Detalle: Deuterio cantidad: 60 | Resultado: EXITO
[2026-06-20 22:08:44] Estacion (60,7) | Nave PID 69570 | Operacion: COMPRA COMBUSTIBLE | Detalle: Combustible cantidad: 40 | Resultado: EXITO
[2026-06-20 22:08:44] Estacion (60,7) | Nave PID 69570 | Operacion: COMPRA COMBUSTIBLE | Detalle: Combustible cantidad: 40 | Resultado: EXITO
[2026-06-20 22:08:45] Estacion (60,7) | Nave PID 69570 | Operacion: COMPRA COMBUSTIBLE | Detalle: Combustible cantidad: 40 | Resultado: EXITO
[2026-06-20 22:08:56] Estacion (60,7) | Nave PID 69570 | Operacion: VENTA MINERAL | Detalle: Deuterio cantidad: 20 | Resultado: EXITO
